" ","AM1","PDM10","P-Value"
" ","n = 31","n = 25"," "
"age"," "," ","0.404"
" ","69.2 (5.0)","70.4 (5.0)",""
"list_sort_c"," "," ","0.129"
" ","102.9 (14.0)","109.2 (16.7)",""
"flanker_c"," "," ","0.562"
" ","98.1 (11.5)","96.1 (13.5)",""
"card_sort_c"," "," ","0.695"
" ","112.7 (17.1)","114.5 (16.9)",""
"vocab_c"," "," ","0.548"
" ","111.8 (10.6)","113.6 (10.6)",""
"pattern_c"," "," ","0.69"
" ","99.8 (19.5)","101.8 (17.8)",""
"pic_seq_c"," "," ","0.518"
" ","103.3 (13.7)","100.9 (13.4)",""
"fluid_cog_c"," "," ","0.643"
" ","104.8 (14.2)","106.6 (15.8)",""
"best_win"," "," ","0.926"
" ","7.9 (3.8)","8.0 (4.2)",""
